Date,Year,Country,Precip_mm,Temp_K,SoilMoisture,Evaporation,NDVI,SPI_1,SPI_3,SPI_6,SPI_12,ONI_DJF,ONI_JFM,ONI_FMA,ONI_MAM,ONI_AMJ,ONI_MJJ,ONI_JJA,ONI_JAS,ONI_ASO,ONI_SON,ONI_OND,ONI_NDJ
01/01/2000,2000,Ethiopia,5.224093979,295.6189065,0.145458183,-0.000723085,,-0.746030923,,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/01/2000,2000,Kenya,8.064940126,298.4087213,0.1367508,-0.001275984,,-0.08691816,,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/01/2000,2000,Somalia,0.400158153,297.7479206,0.065303808,-0.000378163,,0.258033916,,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/01/2000,2000,Uganda,23.82217351,296.9384509,0.207307266,-0.002850574,,-0.838548753,,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/02/2000,2000,Somalia,0.217804395,298.2022745,0.061745034,-0.000214856,0.196265387,-0.389101346,,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/02/2000,2000,Uganda,24.29233689,297.5460649,0.18087418,-0.002461232,0.36574014,-1.258649268,,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/02/2000,2000,Kenya,4.888735052,299.4831912,0.113825061,-0.000745984,0.282228841,-1.912626658,,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/02/2000,2000,Ethiopia,4.255860382,296.8551162,0.141840798,-0.000620056,0.253313963,-2.383033165,,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/03/2000,2000,Somalia,4.335812153,299.2689503,0.062430993,-0.000240384,0.192346719,-0.644067686,-1.057768877,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/03/2000,2000,Uganda,68.15377029,297.2874418,0.216062586,-0.002738955,0.364822227,-1.742871918,-1.866337301,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/03/2000,2000,Kenya,29.36902572,299.8504271,0.137146085,-0.001093134,0.283074563,-0.619220683,-2.061515871,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/03/2000,2000,Ethiopia,14.05476267,297.993796,0.145412864,-0.000673692,0.249403597,-2.257427131,-2.026396901,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/04/2000,2000,Uganda,166.4826941,295.9868974,0.282940834,-0.003232575,0.48167598,0.032712568,-1.436298774,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/04/2000,2000,Kenya,54.870372,298.8939139,0.180239846,-0.001810576,0.333118891,-2.114565552,-2.318446382,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/04/2000,2000,Somalia,43.24494255,300.6047886,0.098583512,-0.00096026,0.214249865,-0.876223094,-0.851785126,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/04/2000,2000,Ethiopia,75.08420673,297.3649694,0.221621292,-0.001778539,0.293398575,-0.843198402,-1.748195036,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/05/2000,2000,Uganda,132.4843153,295.6921228,0.295628934,-0.00350428,0.576030192,-0.265862009,-0.272593799,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
01/05/2000,2000,Kenya,47.87920227,298.1697675,0.167652516,-0.001443324,0.354061339,-1.162975042,-2.294418461,,,-1.7,-1.4,-1.1,-0.8,-0.7,-0.6,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7
